Year,Locality,Avg Price (₹/sq.ft)
2025,Thane West," INR 25,288.42 "
2015,Vikhroli," INR 14,420.00 "
2016,Vikhroli," INR 15,019.38 "
2017,Vikhroli," INR 15,643.67 "
2018,Vikhroli," INR 16,293.91 "
2019,Vikhroli," INR 16,971.17 "
2020,Vikhroli," INR 17,676.59 "
2021,Vikhroli," INR 18,411.33 "
2022,Vikhroli," INR 19,176.61 "
2023,Vikhroli," INR 19,973.70 "
2024,Vikhroli," INR 20,803.92 "
2025,Vikhroli," INR 21,668.65 "
2015,Vile Parle," INR 14,396.00 "
2016,Vile Parle," INR 15,578.12 "
2017,Vile Parle," INR 16,857.30 "
2018,Vile Parle," INR 18,241.53 "
2019,Vile Parle," INR 19,739.42 "
2020,Vile Parle," INR 21,360.30 "
2021,Vile Parle," INR 23,114.29 "
2022,Vile Parle," INR 25,012.30 "
2023,Vile Parle," INR 27,066.17 "
2024,Vile Parle," INR 29,288.68 "
2025,Vile Parle," INR 31,693.70 "
2015,Wadala," INR 16,666.00 "
2016,Wadala," INR 17,707.42 "
2017,Wadala," INR 18,813.92 "
2018,Wadala," INR 19,989.55 "
2019,Wadala," INR 21,238.66 "
2020,Wadala," INR 22,565.81 "
2021,Wadala," INR 23,975.90 "
2022,Wadala," INR 25,474.10 "
2023,Wadala," INR 27,065.91 "
2024,Wadala," INR 28,757.20 "
2025,Wadala," INR 30,554.17 "
2015,Worli," INR 10,747.00 "
2016,Worli," INR 11,389.21 "
2017,Worli," INR 12,069.81 "
2018,Worli," INR 12,791.07 "
2019,Worli," INR 13,555.43 "
2020,Worli," INR 14,365.47 "
2021,Worli," INR 15,223.91 "
2022,Worli," INR 16,133.66 "
2023,Worli," INR 17,097.76 "
2024,Worli," INR 18,119.48 "
2025,Worli," INR 19,202.26 "
2015,Chembur," INR 8,189.00 "
2016,Chembur," INR 8,895.98 "
2017,Chembur," INR 9,664.00 "
2018,Chembur," INR 10,498.32 "
2019,Chembur," INR 11,404.67 "
2020,Chembur," INR 12,389.27 "
2021,Chembur," INR 13,458.87 "
2022,Chembur," INR 14,620.81 "
2023,Chembur," INR 15,883.07 "
2024,Chembur," INR 17,254.30 "
2025,Chembur," INR 18,743.92 "
2015,Ghatkopar," INR 11,005.00 "
2016,Ghatkopar," INR 11,845.38 "
2017,Ghatkopar," INR 12,749.94 "
2018,Ghatkopar," INR 13,723.57 "
2019,Ghatkopar," INR 14,771.55 "
2020,Ghatkopar," INR 15,899.56 "
2021,Ghatkopar," INR 17,113.71 "
2022,Ghatkopar," INR 18,420.57 "
2023,Ghatkopar," INR 19,827.23 "
2024,Ghatkopar," INR 21,341.31 "
2025,Ghatkopar," INR 22,971.01 "
2015,Lower Parel," INR 9,899.00 "
2016,Lower Parel," INR 10,456.58 "
2017,Lower Parel," INR 11,045.57 "
2018,Lower Parel," INR 11,667.73 "
2019,Lower Parel," INR 12,324.94 "
2020,Lower Parel," INR 13,019.17 "
2021,Lower Parel," INR 13,752.50 "
2022,Lower Parel," INR 14,527.14 "
2023,Lower Parel," INR 15,345.41 "
2024,Lower Parel," INR 16,209.77 "
2025,Lower Parel," INR 17,122.82 "
2015,Bhandup," INR 9,267.00 "
2016,Bhandup," INR 9,902.00 "
2017,Bhandup," INR 10,580.50 "
2018,Bhandup," INR 11,305.50 "
2019,Bhandup," INR 12,080.18 "
2020,Bhandup," INR 12,907.94 "
2021,Bhandup," INR 13,792.42 "
2022,Bhandup," INR 14,737.51 "
2023,Bhandup," INR 15,747.35 "
2024,Bhandup," INR 16,826.40 "
2025,Bhandup," INR 17,979.38 "
2015,Byculla," INR 19,394.00 "
2016,Byculla," INR 20,674.81 "
2017,Byculla," INR 22,040.21 "
2018,Byculla," INR 23,495.79 "
2019,Byculla," INR 25,047.49 "
2020,Byculla," INR 26,701.67 "
2021,Byculla," INR 28,465.09 "
2022,Byculla," INR 30,344.97 "
2023,Byculla," INR 32,349.01 "
2024,Byculla," INR 34,485.39 "
2025,Byculla," INR 36,762.87 "
2015,Mazgaon," INR 11,556.00 "
2016,Mazgaon," INR 12,573.61 "
2017,Mazgaon," INR 13,680.82 "
2018,Mazgaon," INR 14,885.53 "
2019,Mazgaon," INR 16,196.33 "
2020,Mazgaon," INR 17,622.56 "
2021,Mazgaon," INR 19,174.38 "
2022,Mazgaon," INR 20,862.85 "
2023,Mazgaon," INR 22,700.00 "
2024,Mazgaon," INR 24,698.93 "
2025,Mazgaon," INR 26,873.88 "
2015,Colaba," INR 11,890.00 "
2016,Colaba," INR 12,867.68 "
2017,Colaba," INR 13,925.74 "
2018,Colaba," INR 15,070.81 "
2019,Colaba," INR 16,310.03 "
2020,Colaba," INR 17,651.15 "
2021,Colaba," INR 19,102.55 "
2022,Colaba," INR 20,673.29 "
2023,Colaba," INR 22,373.18 "
2024,Colaba," INR 24,212.86 "
2025,Colaba," INR 26,203.80 "
2015,Sion," INR 16,838.00 "
2016,Sion," INR 18,140.69 "
2017,Sion," INR 19,544.16 "
2018,Sion," INR 21,056.22 "
2019,Sion," INR 22,685.25 "
2020,Sion," INR 24,440.32 "
2021,Sion," INR 26,331.17 "
2022,Sion," INR 28,368.30 "
2023,Sion," INR 30,563.05 "
2024,Sion," INR 32,927.59 "
2025,Sion," INR 35,475.06 "
2015,Dahisar," INR 22,502.00 "
2016,Dahisar," INR 24,009.29 "
2017,Dahisar," INR 25,617.54 "
2018,Dahisar," INR 27,333.52 "
2019,Dahisar," INR 29,164.45 "
2020,Dahisar," INR 31,118.02 "
2021,Dahisar," INR 33,202.44 "
2022,Dahisar," INR 35,426.50 "
2023,Dahisar," INR 37,799.53 "
2024,Dahisar," INR 40,331.51 "
2025,Dahisar," INR 43,033.10 "
2015,Malvani," INR 12,359.00 "
2016,Malvani," INR 13,323.00 "
2017,Malvani," INR 13,105.00 "
2018,Malvani," INR 12,812.50 "
2019,Malvani," INR 16,787.50 "
2020,Malvani," INR 17,837.50 "
2021,Malvani," INR 15,066.70 "
2022,Malvani," INR 15,012.50 "
2023,Malvani," INR 13,187.50 "
2024,Malvani," INR 14,575.00 "
2025,Malvani," INR 20,900.00 "
2015,Andheri East," INR 22,000.00 "
2016,Andheri East," INR 23,000.00 "
2017,Andheri East," INR 24,095.00 "
2018,Andheri East," INR 24,110.00 "
2019,Andheri East," INR 24,580.00 "
2020,Andheri East," INR 24,677.00 "
2021,Andheri East," INR 25,962.00 "
2022,Andheri East," INR 27,430.00 "
2023,Andheri East," INR 28,981.00 "
2024,Andheri East," INR 29,415.00 "
2025,Andheri East," INR 30,055.00 "
2015,Borivali(W)," INR 18,500.00 "
2016,Borivali(W)," INR 18,752.00 "
2017,Borivali(W)," INR 21,681.00 "
2018,Borivali(W)," INR 21,757.00 "
2019,Borivali(W)," INR 22,259.00 "
2020,Borivali(W)," INR 22,282.00 "
2021,Borivali(W)," INR 23,011.00 "
2022,Borivali(W)," INR 23,861.00 "
2023,Borivali(W)," INR 25,240.00 "
2024,Borivali(W)," INR 25,669.00 "
2025,Borivali(W)," INR 25,284.00 "
2015,Goregaon(E)," INR 16,800.00 "
2016,Goregaon(E)," INR 17,200.00 "
2017,Goregaon(E)," INR 24,857.00 "
2018,Goregaon(E)," INR 24,912.00 "
2019,Goregaon(E)," INR 25,205.00 "
2020,Goregaon(E)," INR 25,100.00 "
2021,Goregaon(E)," INR 25,620.00 "
2022,Goregaon(E)," INR 26,892.00 "
2023,Goregaon(E)," INR 28,556.00 "
2024,Goregaon(E)," INR 30,013.00 "
2025,Goregaon(E)," INR 23,230.00 "
2015,Santacruz(W)," INR 36,487.50 "
2016,Santacruz(W)," INR 51,762.50 "
2017,Santacruz(W)," INR 51,725.00 "
2018,Santacruz(W)," INR 53,262.50 "
2019,Santacruz(W)," INR 49,462.50 "
2020,Santacruz(W)," INR 47,475.00 "
2021,Santacruz(W)," INR 50,162.50 "
2022,Santacruz(W)," INR 47,062.50 "
2023,Santacruz(W)," INR 33,025.00 "
2024,Santacruz(W)," INR 47,150.00 "
2025,Santacruz(W)," INR 54,175.00 "
