Year,Locality,Avg Price (₹/sq.ft)
2025,Thane West," INR 25,288.42 "
2015,Vikhroli," INR 26,912.50 "
2016,Vikhroli," INR 31,112.50 "
2017,Vikhroli," INR 30,100.00 "
2018,Vikhroli," INR 23,487.50 "
2019,Vikhroli," INR 20,783.33 "
2020,Vikhroli," INR 28,800.00 "
2021,Vikhroli," INR 22,175.00 "
2022,Vikhroli," INR 21,037.50 "
2023,Vikhroli," INR 21,450.00 "
2024,Vikhroli," INR 21,450.00 "
2025,Vikhroli," INR 23,283.33 "
2015,Vile Parle," INR 39,275.00 "
2016,Vile Parle," INR 39,062.50 "
2017,Vile Parle," INR 40,137.50 "
2018,Vile Parle," INR 40,337.50 "
2019,Vile Parle," INR 40,400.00 "
2020,Vile Parle," INR 39,625.00 "
2021,Vile Parle," INR 39,637.50 "
2022,Vile Parle," INR 40,125.00 "
2023,Vile Parle," INR 40,475.00 "
2024,Vile Parle," INR 41,037.50 "
2025,Vile Parle," INR 40,900.00 "
2015,Wadala," INR 34,516.67 "
2016,Wadala," INR 31,087.50 "
2017,Wadala," INR 31,075.00 "
2018,Wadala," INR 31,512.50 "
2019,Wadala," INR 29,250.00 "
2020,Wadala," INR 28,112.50 "
2021,Wadala," INR 29,137.50 "
2022,Wadala," INR 30,775.00 "
2023,Wadala," INR 32,025.00 "
2024,Wadala," INR 34,025.00 "
2025,Wadala," INR 35,183.33 "
2015,Worli," INR 55,412.50 "
2016,Worli," INR 57,550.00 "
2017,Worli," INR 58,137.50 "
2018,Worli," INR 54,437.50 "
2019,Worli," INR 52,800.00 "
2020,Worli," INR 48,125.00 "
2021,Worli," INR 49,975.00 "
2022,Worli," INR 52,000.00 "
2023,Worli," INR 56,050.00 "
2024,Worli," INR 62,250.00 "
2025,Worli," INR 65,383.33 "
2015,Chembur," INR 26,750.00 "
2016,Chembur," INR 28,000.00 "
2017,Chembur," INR 28,412.50 "
2018,Chembur," INR 28,475.00 "
2019,Chembur," INR 28,075.00 "
2020,Chembur," INR 26,425.00 "
2021,Chembur," INR 26,862.50 "
2022,Chembur," INR 27,587.50 "
2023,Chembur," INR 30,512.50 "
2024,Chembur," INR 31,387.50 "
2025,Chembur," INR 31,916.66 "
2015,Ghatkopar," INR 25,812.50 "
2016,Ghatkopar," INR 28,212.50 "
2017,Ghatkopar," INR 26,600.00 "
2018,Ghatkopar," INR 26,712.50 "
2019,Ghatkopar," INR 27,562.50 "
2020,Ghatkopar," INR 27,387.50 "
2021,Ghatkopar," INR 27,325.00 "
2022,Ghatkopar," INR 25,425.00 "
2023,Ghatkopar," INR 27,512.50 "
2024,Ghatkopar," INR 28,575.00 "
2025,Ghatkopar," INR 29,633.33 "
2015,Lower Parel," INR 44,550.00 "
2016,Lower Parel," INR 51,775.00 "
2017,Lower Parel," INR 52,525.00 "
2018,Lower Parel," INR 46,837.50 "
2019,Lower Parel," INR 45,187.50 "
2020,Lower Parel," INR 41,675.00 "
2021,Lower Parel," INR 43,112.50 "
2022,Lower Parel," INR 46,475.00 "
2023,Lower Parel," INR 48,700.00 "
2024,Lower Parel," INR 51,787.50 "
2025,Lower Parel," INR 52,166.67 "
2015,Bhandup," INR 21,187.50 "
2016,Bhandup," INR 21,475.00 "
2017,Bhandup," INR 22,162.50 "
2018,Bhandup," INR 22,587.50 "
2019,Bhandup," INR 21,862.50 "
2020,Bhandup," INR 21,475.00 "
2021,Bhandup," INR 20,912.50 "
2022,Bhandup," INR 21,875.00 "
2023,Bhandup," INR 22,787.50 "
2024,Bhandup," INR 22,812.50 "
2025,Bhandup," INR 23,450.00 "
2015,Byculla," INR 39,675.00 "
2016,Byculla," INR 39,900.00 "
2017,Byculla," INR 35,812.50 "
2018,Byculla," INR 42,000.00 "
2019,Byculla," INR 39,000.00 "
2020,Byculla," INR 37,900.00 "
2021,Byculla," INR 44,675.00 "
2022,Byculla," INR 43,575.00 "
2023,Byculla," INR 44,337.50 "
2024,Byculla," INR 46,012.50 "
2025,Byculla," INR 47,433.33 "
2015,Mazgaon," INR 40,500.00 "
2016,Mazgaon," INR 42,800.00 "
2017,Mazgaon," INR 37,362.50 "
2018,Mazgaon," INR 39,037.50 "
2019,Mazgaon," INR 39,350.00 "
2020,Mazgaon," INR 38,350.00 "
2021,Mazgaon," INR 37,362.50 "
2022,Mazgaon," INR 35,475.00 "
2023,Mazgaon," INR 38,762.50 "
2024,Mazgaon," INR 40,000.00 "
2025,Mazgaon," INR 40,233.33 "
2015,Colaba," INR 50,000.00 "
2016,Colaba," INR 47,300.00 "
2017,Colaba," INR 46,900.00 "
2018,Colaba," INR 49,666.67 "
2019,Colaba," INR 53,150.00 "
2020,Colaba," INR 47,716.67 "
2021,Colaba," INR 45,450.00 "
2022,Colaba," INR 44,762.50 "
2023,Colaba," INR 46,625.00 "
2024,Colaba," INR 48,150.00 "
2025,Colaba," INR 48,783.33 "
2015,Sion," INR 28,300.00 "
2016,Sion," INR 25,225.00 "
2017,Sion," INR 28,400.00 "
2018,Sion," INR 36,850.00 "
2019,Sion," INR 35,183.33 "
2020,Sion," INR 30,216.67 "
2021,Sion," INR 35,462.50 "
2022,Sion," INR 33,662.50 "
2023,Sion," INR 36,287.50 "
2024,Sion," INR 36,437.50 "
2025,Sion," INR 38,800.00 "
2015,Dahisar," INR 22,502.00 "
2016,Dahisar," INR 24,009.29 "
2017,Dahisar," INR 25,617.54 "
2018,Dahisar," INR 27,333.52 "
2019,Dahisar," INR 29,164.45 "
2020,Dahisar," INR 31,118.02 "
2021,Dahisar," INR 33,202.44 "
2022,Dahisar," INR 35,426.50 "
2023,Dahisar," INR 37,799.53 "
2024,Dahisar," INR 40,331.51 "
2025,Dahisar," INR 43,033.10 "
2015,Malvani," INR 12,359.00 "
2016,Malvani," INR 13,323.00 "
2017,Malvani," INR 13,105.00 "
2018,Malvani," INR 12,812.50 "
2019,Malvani," INR 16,787.50 "
2020,Malvani," INR 17,837.50 "
2021,Malvani," INR 15,066.70 "
2022,Malvani," INR 15,012.50 "
2023,Malvani," INR 13,187.50 "
2024,Malvani," INR 14,575.00 "
2025,Malvani," INR 20,900.00 "
2015,Andheri East," INR 22,000.00 "
2016,Andheri East," INR 23,000.00 "
2017,Andheri East," INR 24,095.00 "
2018,Andheri East," INR 24,110.00 "
2019,Andheri East," INR 24,580.00 "
2020,Andheri East," INR 24,677.00 "
2021,Andheri East," INR 25,962.00 "
2022,Andheri East," INR 27,430.00 "
2023,Andheri East," INR 28,981.00 "
2024,Andheri East," INR 29,415.00 "
2025,Andheri East," INR 30,055.00 "
2015,Borivali(W)," INR 18,500.00 "
2016,Borivali(W)," INR 18,752.00 "
2017,Borivali(W)," INR 21,681.00 "
2018,Borivali(W)," INR 21,757.00 "
2019,Borivali(W)," INR 22,259.00 "
2020,Borivali(W)," INR 22,282.00 "
2021,Borivali(W)," INR 23,011.00 "
2022,Borivali(W)," INR 23,861.00 "
2023,Borivali(W)," INR 25,240.00 "
2024,Borivali(W)," INR 25,669.00 "
2025,Borivali(W)," INR 25,284.00 "
2015,Goregaon(E)," INR 16,800.00 "
2016,Goregaon(E)," INR 17,200.00 "
2017,Goregaon(E)," INR 24,857.00 "
2018,Goregaon(E)," INR 24,912.00 "
2019,Goregaon(E)," INR 25,205.00 "
2020,Goregaon(E)," INR 25,100.00 "
2021,Goregaon(E)," INR 25,620.00 "
2022,Goregaon(E)," INR 26,892.00 "
2023,Goregaon(E)," INR 28,556.00 "
2024,Goregaon(E)," INR 30,013.00 "
2025,Goregaon(E)," INR 23,230.00 "
2015,Santacruz(W)," INR 36,487.50 "
2016,Santacruz(W)," INR 51,762.50 "
2017,Santacruz(W)," INR 51,725.00 "
2018,Santacruz(W)," INR 53,262.50 "
2019,Santacruz(W)," INR 49,462.50 "
2020,Santacruz(W)," INR 47,475.00 "
2021,Santacruz(W)," INR 50,162.50 "
2022,Santacruz(W)," INR 47,062.50 "
2023,Santacruz(W)," INR 33,025.00 "
2024,Santacruz(W)," INR 47,150.00 "
2025,Santacruz(W)," INR 54,175.00 "
